2024-04-01 15:24:51.590 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-04-01 15:24:51.594 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-04-01 15:24:52.034 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-04-01 15:24:52.215 [main] INFO  o.s.d.j.r.query.QueryEnhancerFactory - Hibernate is in classpath; If applicable, HQL parser will be used.
2024-04-01 15:24:52.691 [main] DEBUG o.s.s.a.p.PrePostAnnotationSecurityMetadataSource - @org.springframework.security.access.prepost.PreAuthorize("hasRole(\'ROLE_ADMIN\')") found on specific method: public org.springframework.http.ResponseEntity com.project.shopApp.controllers.OrderController.getOrdersByKeyword(java.lang.String,int,int)
2024-04-01 15:24:52.705 [main] DEBUG o.s.s.a.m.DelegatingMethodSecurityMetadataSource - Caching method [CacheKey[com.project.shopApp.controllers.OrderController; public org.springframework.http.ResponseEntity com.project.shopApp.controllers.OrderController.getOrdersByKeyword(java.lang.String,int,int)]] with attributes [[authorize: 'hasRole('ROLE_ADMIN')', filter: 'null', filterTarget: 'null']]
2024-04-01 15:24:56.799 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@62c4ad40, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@19bd1f98, org.springframework.security.web.context.SecurityContextHolderFilter@52c0c594, org.springframework.security.web.header.HeaderWriterFilter@81da6a3, org.springframework.web.filter.CorsFilter@9bc10bd, org.springframework.security.web.authentication.logout.LogoutFilter@5a487b86, com.project.shopApp.filters.JwtTokenFilter@3054cdd3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@581cd446, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@545c3628, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@69cf9acb, org.springframework.security.web.access.ExceptionTranslationFilter@6074f8f9, org.springframework.security.web.access.intercept.AuthorizationFilter@15200332]
2024-04-01 15:24:57.073 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8088"]
2024-04-01 15:24:57.095 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8088 (http) with context path ''
2024-04-01 15:24:57.103 [main] INFO  c.project.shopApp.ShopAppApplication - Started ShopAppApplication in 9.29 seconds (process running for 11.075)
